City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,22.0752,-159.319,79.12,67,0,12.66,clear sky
1,Dikson,RU,73.5069,80.5464,-0.94,98,100,7.14,overcast clouds
2,Saldanha,ZA,-33.0117,17.9442,62.15,70,0,27.22,clear sky
3,Andenes,NO,69.3143,16.1194,40.98,75,75,11.5,light rain
4,Breznice,CZ,49.5576,13.9506,40.33,94,0,2.46,clear sky
5,Hilo,US,19.7297,-155.09,77.61,77,55,4.0,broken clouds
6,Gisors,FR,49.2818,1.7801,51.69,69,100,6.8,overcast clouds
7,Bredasdorp,ZA,-34.5322,20.0403,59.74,75,49,5.1,light rain
8,Georgetown,MY,5.4112,100.3354,78.73,89,20,0.0,few clouds
9,Vaini,TO,-21.2,-175.2,82.56,89,75,2.3,broken clouds
10,Shwebo,MM,22.5667,95.7,83.5,38,6,6.67,clear sky
11,Faanui,PF,-16.4833,-151.75,81.48,76,27,12.77,light rain
12,Clyde River,CA,70.4692,-68.5914,-5.57,84,100,29.93,heavy snow
13,Yellowknife,CA,62.456,-114.3525,2.28,76,100,8.12,overcast clouds
14,Bluff,NZ,-46.6,168.3333,53.8,87,100,19.73,overcast clouds
15,Khatanga,RU,71.9667,102.5,-3.69,98,100,8.1,overcast clouds
16,Tucuman,AR,-26.8241,-65.2226,80.71,50,0,4.9,clear sky
17,Busselton,AU,-33.65,115.3333,68.16,88,99,6.55,light rain
18,Albany,US,42.6001,-73.9662,50.27,41,67,5.95,broken clouds
19,Pemangkat,ID,1.1667,108.9667,76.96,87,93,3.53,overcast clouds
20,Pisco,PE,-13.7,-76.2167,79.27,60,99,9.93,overcast clouds
21,Ushuaia,AR,-54.8,-68.3,46.02,75,100,20.71,overcast clouds
22,Luderitz,NA,-26.6481,15.1594,64.72,53,0,27.34,clear sky
23,Ponta Delgada,PT,37.7333,-25.6667,59.5,62,20,5.75,few clouds
24,Ilulissat,GL,69.2167,-51.1,-0.38,71,75,21.85,light shower snow
25,Mataura,NZ,-46.1927,168.8643,53.47,98,100,2.06,overcast clouds
26,Luena,AO,-11.7833,19.9167,63.72,93,100,3.13,light rain
27,Rikitea,PF,-23.1203,-134.9692,79.48,75,100,14.88,light rain
28,Beira,MZ,-19.8436,34.8389,78.89,89,40,2.3,scattered clouds
29,Tahta,EG,26.7693,31.5021,54.77,32,0,18.07,clear sky
30,Thompson,CA,55.7435,-97.8558,8.04,76,99,8.5,overcast clouds
31,Mariahu,IN,25.6167,82.6167,71.4,33,0,1.72,clear sky
32,Sao Filipe,CV,14.8961,-24.4956,72.14,70,1,17.52,clear sky
33,Punta Arenas,CL,-53.15,-70.9167,48.31,71,100,9.22,light rain
34,New Norfolk,AU,-42.7826,147.0587,60.3,83,100,1.9,light rain
35,Saint-Philippe,RE,-21.3585,55.7679,76.59,89,55,9.84,light rain
36,Cockburn Town,TC,21.4612,-71.1419,78.06,77,2,19.8,clear sky
37,Plettenberg Bay,ZA,-34.0527,23.3716,59.05,71,79,5.21,broken clouds
38,Camacha,PT,33.0833,-16.3333,53.02,54,40,29.93,scattered clouds
39,Rach Gia,VN,10.0167,105.0833,78.76,84,26,6.69,scattered clouds
40,Bambous Virieux,MU,-20.3428,57.7575,79.05,94,40,2.3,light rain
41,Port Elizabeth,ZA,-33.918,25.5701,59.09,72,100,12.82,overcast clouds
42,Hermanus,ZA,-34.4187,19.2345,52.81,75,10,9.13,clear sky
43,Hasaki,JP,35.7333,140.8333,43.2,90,100,8.25,overcast clouds
44,Abu Samrah,SY,35.3029,37.1841,37.81,64,90,7.2,overcast clouds
45,Aklavik,CA,68.2191,-135.0107,-2.49,77,25,2.15,scattered clouds
46,Victoria,HK,22.2855,114.1577,75.94,85,50,4.7,scattered clouds
47,Wapakoneta,US,40.5678,-84.1936,61.97,31,0,18.41,clear sky
48,Torbay,CA,47.6666,-52.7314,29.57,61,100,11.99,overcast clouds
49,Buala,SB,-8.145,159.5921,80.02,77,69,3.58,broken clouds
50,Hithadhoo,MV,-0.6,73.0833,82.04,75,100,9.42,overcast clouds
51,Abu Kamal,SY,34.4506,40.9171,46.96,39,1,10.49,clear sky
52,Vanavara,RU,60.34,102.2797,-18.11,100,95,2.37,overcast clouds
53,Oktyabrskoye,RU,43.0645,44.7417,23.14,92,98,6.71,overcast clouds
54,Kamenka,RU,51.3223,42.7678,23.63,95,100,8.46,overcast clouds
55,Arraial Do Cabo,BR,-22.9661,-42.0278,80.46,69,0,17.27,clear sky
56,Hobart,AU,-42.8794,147.3294,60.66,95,75,5.75,light intensity drizzle
57,Butaritari,KI,3.0707,172.7902,81.3,71,100,17.67,overcast clouds
58,Bengkulu,ID,-3.8004,102.2655,76.41,90,100,4.63,light rain
59,Alofi,NU,-19.0595,-169.9187,80.49,89,40,2.3,scattered clouds
60,Portland,US,45.5234,-122.6762,54.61,71,100,10.36,overcast clouds
61,Shingu,JP,33.7333,135.9833,64.38,86,100,8.68,overcast clouds
62,Gewane,ET,10.1664,40.6453,81.45,40,88,10.54,overcast clouds
63,Klaksvik,FO,62.2266,-6.589,43.72,90,100,26.37,overcast clouds
64,Bethel,US,41.3712,-73.414,55.47,44,0,13.8,clear sky
65,Talnakh,RU,69.4865,88.3972,1.2,98,100,9.53,light snow
66,Katsuura,JP,35.1333,140.3,57.72,89,100,10.49,overcast clouds
67,Provideniya,RU,64.3833,-173.3,5.99,76,2,7.65,clear sky
68,Yar-Sale,RU,66.8333,70.8333,6.84,95,100,7.38,overcast clouds
69,Rocha,UY,-34.4833,-54.3333,72.75,45,0,9.98,clear sky
70,Jamestown,US,42.097,-79.2353,52.18,28,0,19.57,clear sky
71,Basco,PH,20.4487,121.9702,75.94,87,46,12.82,scattered clouds
72,Lasa,IT,46.6166,10.7002,42.03,92,100,2.42,overcast clouds
73,Ostrovnoy,RU,68.0531,39.5131,20.68,89,73,21.21,broken clouds
74,Bay Roberts,CA,47.5999,-53.2648,28.51,54,97,15.01,overcast clouds
75,Batemans Bay,AU,-35.7167,150.1833,66.09,88,77,2.01,broken clouds
76,Laguna,US,38.421,-121.4238,72.01,40,0,4.61,clear sky
77,Talas,TR,38.6908,35.5538,21.87,74,40,0.0,scattered clouds
78,Cape Town,ZA,-33.9258,18.4232,62.28,72,0,21.54,clear sky
79,Padang,ID,-0.9492,100.3543,77.02,89,100,4.94,overcast clouds
80,Bathsheba,BB,13.2167,-59.5167,83.01,61,40,23.02,scattered clouds
81,Manokwari,ID,-0.8667,134.0833,78.26,79,67,2.68,broken clouds
82,Purranque,CL,-40.9167,-73.1667,71.28,46,42,8.05,scattered clouds
83,Kuala Terengganu,MY,5.3302,103.1408,76.87,87,48,3.13,scattered clouds
84,Turukhansk,RU,65.8167,87.9833,-0.35,97,100,9.4,overcast clouds
85,Manzanillo,CU,20.3433,-77.1167,90.91,41,24,4.72,few clouds
86,Edd,ER,13.9297,41.6925,79.66,67,5,9.93,clear sky
87,Benjamin Constant,BR,-4.3831,-70.0311,87.93,66,40,4.61,scattered clouds
88,Khakhea,BW,-24.6895,23.494,61.79,89,29,5.48,scattered clouds
89,Nikolskoye,RU,59.7035,30.7861,33.87,89,97,2.42,overcast clouds
90,Erenhot,CN,43.6475,111.9767,37.44,83,4,25.57,clear sky
91,Cherskiy,RU,68.75,161.3,-23.3,100,52,3.6,broken clouds
92,Esperance,AU,-33.8667,121.9,64.74,81,100,5.55,overcast clouds
93,Henderson,US,36.0397,-114.9819,69.82,22,0,11.5,clear sky
94,Arona,ES,28.0996,-16.681,55.92,46,20,12.66,few clouds
95,Qaanaaq,GL,77.484,-69.3632,-5.82,74,16,6.87,few clouds
96,Kedgwick,CA,47.6446,-67.3434,29.46,86,100,12.15,light snow
97,Warrnambool,AU,-38.3833,142.4833,62.11,89,55,7.65,moderate rain
98,Paamiut,GL,61.994,-49.6678,7.14,91,100,18.07,light snow
99,Saquarema,BR,-22.92,-42.5103,80.64,80,11,8.93,few clouds
100,Lebu,CL,-37.6167,-73.65,62.53,71,5,19.55,clear sky
101,Port Alfred,ZA,-33.5906,26.891,64.76,72,100,14.12,light rain
102,Mahebourg,MU,-20.4081,57.7,79.09,94,40,2.3,scattered clouds
103,Airai,TL,-8.9266,125.4092,60.49,91,100,1.99,overcast clouds
104,Upernavik,GL,72.7868,-56.1549,6.8,95,99,21.05,overcast clouds
105,Hami,CN,42.8,93.45,48.96,53,9,11.01,clear sky
106,Kruisfontein,ZA,-34.0033,24.7314,56.88,69,95,7.9,overcast clouds
107,Vostok,RU,46.4856,135.8833,20.46,96,100,3.36,overcast clouds
108,Camrose,CA,53.0168,-112.8353,33.93,84,48,5.55,scattered clouds
109,Moron,AR,-34.6534,-58.6198,85.01,47,6,1.99,clear sky
110,Ayan,RU,56.45,138.1667,4.75,85,19,6.44,few clouds
111,Darhan,MN,49.4867,105.9228,10.33,72,100,10.04,overcast clouds
112,Bima,ID,-8.4667,118.7167,76.33,93,30,2.66,scattered clouds
113,Kiruna,SE,67.8557,20.2251,18.52,79,100,5.75,overcast clouds
114,Campo Maior,BR,-4.8278,-42.1686,81.81,82,73,4.23,broken clouds
115,La Ronge,CA,55.1001,-105.2842,1.62,66,100,8.05,overcast clouds
116,Nanortalik,GL,60.1432,-45.2371,11.59,78,100,43.73,overcast clouds
117,Praia Da Vitoria,PT,38.7333,-27.0667,59.76,76,100,4.27,overcast clouds
118,Atuona,PF,-9.8,-139.0333,79.02,76,62,15.82,broken clouds
119,Port-Gentil,GA,-0.7193,8.7815,81.12,81,100,10.92,light rain
120,Tasiilaq,GL,65.6145,-37.6368,29.59,95,100,25.99,snow
121,Avarua,CK,-21.2078,-159.775,82.45,74,21,6.91,few clouds
122,Neuquen,AR,-38.9516,-68.0591,87.69,16,0,3.44,clear sky
123,Ambon,ID,-3.6954,128.1814,81.28,79,94,4.5,overcast clouds
124,Maceio,BR,-9.6658,-35.7353,78.24,88,75,8.05,broken clouds
125,Ribeira Grande,PT,38.5167,-28.7,61.2,72,75,12.66,broken clouds
126,Tuktoyaktuk,CA,69.4541,-133.0374,-7.96,96,75,10.42,broken clouds
127,Pevek,RU,69.7008,170.3133,-24.86,100,97,3.89,overcast clouds
128,Vanimo,PG,-2.6741,141.3028,76.6,90,92,3.94,overcast clouds
129,Mindelo,CV,16.8901,-24.9804,68.41,76,0,22.79,clear sky
130,Cayenne,GF,4.9333,-52.3333,79.09,1,75,4.61,broken clouds
131,Castro,BR,-24.7911,-50.0119,70.75,90,47,4.43,scattered clouds
132,Alice Springs,AU,-23.7,133.8833,72.95,33,44,5.75,scattered clouds
133,Ust-Kulom,RU,61.6864,53.6902,6.75,99,67,2.82,broken clouds
134,Axim,GH,4.8699,-2.2405,80.11,84,100,9.8,light rain
135,Bud,US,39.447,-86.1758,64.42,25,0,16.35,clear sky
136,Solnechnyy,RU,50.7214,136.6319,18.7,96,100,4.65,light snow
137,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,25.39,93,100,4.47,light shower snow
138,Montepuez,MZ,-13.1256,38.9997,70.36,98,94,4.12,light rain
139,Kaitangata,NZ,-46.2817,169.8464,53.42,95,100,5.97,overcast clouds
140,Leningradskiy,RU,69.3833,178.4167,-18.31,98,49,5.03,scattered clouds
141,Sault Sainte Marie,CA,46.5168,-84.3333,30.76,55,100,5.75,overcast clouds
142,Ballina,AU,-28.8667,153.5667,65.01,99,100,9.86,overcast clouds
143,Hobyo,SO,5.3505,48.5268,79.56,72,27,15.86,scattered clouds
144,Coquimbo,CL,-29.9533,-71.3436,65.93,72,0,13.8,clear sky
145,Poum,NC,-20.2333,164.0167,82.13,77,14,14.18,few clouds
146,Severo-Kurilsk,RU,50.6789,156.125,27.63,87,100,7.94,overcast clouds
147,Sitka,US,57.0531,-135.33,42.69,70,100,14.97,light rain
148,Dongsheng,CN,39.8161,109.9776,44.31,36,53,19.06,broken clouds
149,Saskylakh,RU,71.9167,114.0833,-16.76,100,95,3.0,overcast clouds
150,Pacific Grove,US,36.6177,-121.9166,71.58,63,0,7.0,clear sky
151,Hauterive,FR,46.0901,3.4459,50.76,86,100,5.21,light rain
152,Karratha,AU,-20.7377,116.8463,86.16,66,9,11.9,clear sky
153,Sterling,US,39.0062,-77.4286,63.25,35,40,12.66,scattered clouds
154,Novikovo,RU,51.1537,37.8879,32.94,98,100,9.66,overcast clouds
155,North Bend,US,43.4065,-124.2243,59.23,81,100,3.44,overcast clouds
156,Penzance,GB,50.1186,-5.5371,41.68,82,6,11.45,clear sky
157,Sobolevo,RU,54.4299,31.8996,26.85,93,3,5.57,clear sky
158,Beringovskiy,RU,63.05,179.3167,-7.53,91,9,10.29,clear sky
159,Frankfort,ZA,-27.2667,28.4833,56.84,92,100,9.04,overcast clouds
160,Hit,IQ,33.6416,42.8251,51.85,35,6,9.93,clear sky
161,Verkhnyaya Inta,RU,65.9811,60.3094,0.09,100,99,4.63,overcast clouds
162,Raahe,FI,64.6833,24.4833,21.29,93,94,7.31,overcast clouds
163,Weihe,CN,32.9952,105.3247,56.89,58,22,3.94,few clouds
164,Husavik,IS,66.0449,-17.3389,43.77,63,99,39.17,overcast clouds
165,Ponta Do Sol,PT,32.6667,-17.1,56.03,61,72,18.79,broken clouds
