City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kapaa,US,79.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
5,Hilo,US,77.61,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
8,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
9,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
10,Shwebo,MM,83.5,clear sky,22.5667,95.7,MOON SHINE Guest House
11,Faanui,PF,81.48,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
16,Tucuman,AR,80.71,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
19,Pemangkat,ID,76.96,overcast clouds,1.1667,108.9667,Ramah Kost KITA
20,Pisco,PE,79.27,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
27,Rikitea,PF,79.48,light rain,-23.1203,-134.9692,People ThankYou
28,Beira,MZ,78.89,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
35,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
36,Cockburn Town,TC,78.06,clear sky,21.4612,-71.1419,Osprey Beach Hotel
39,Rach Gia,VN,78.76,scattered clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
40,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
46,Victoria,HK,75.94,scattered clouds,22.2855,114.1577,Mini Hotel Central
49,Buala,SB,80.02,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
50,Hithadhoo,MV,82.04,overcast clouds,-0.6,73.0833,Scoop Guest House
55,Arraial Do Cabo,BR,80.46,clear sky,-22.9661,-42.0278,Pousada Porto Praia
57,Butaritari,KI,81.3,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
58,Bengkulu,ID,76.41,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
59,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
62,Gewane,ET,81.45,overcast clouds,10.1664,40.6453,እንደገና ገዋኔ ሞቴል
71,Basco,PH,75.94,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
79,Padang,ID,77.02,overcast clouds,-0.9492,100.3543,Mercure Padang
80,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
81,Manokwari,ID,78.26,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
83,Kuala Terengganu,MY,76.87,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
86,Edd,ER,79.66,clear sky,13.9297,41.6925,
87,Benjamin Constant,BR,87.93,scattered clouds,-4.3831,-70.0311,CASA AVALIADA
99,Saquarema,BR,80.64,few clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
102,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
109,Moron,AR,85.01,clear sky,-34.6534,-58.6198,Hotel Morón
112,Bima,ID,76.33,scattered clouds,-8.4667,118.7167,Lambitu Hotel
114,Campo Maior,BR,81.81,broken clouds,-4.8278,-42.1686,Elite Hotel
118,Atuona,PF,79.02,broken clouds,-9.8,-139.0333,Villa Enata
119,Port-Gentil,GA,81.12,light rain,-0.7193,8.7815,Fengshui Residence
